RBD,Nombre,Dirección,Teléfono,Correo,Página web,Director(a),Sostenedor,Región,Comuna
13503,COLEGIO VALENTIN LETELIER,Pampa Baja Huerto 83,991594069,valentinletelier@cvl.cl,www.cvl.cl,Juana Ester Díaz Calderón,Corporacion Educacional  Valentin Letelier,DE COQUIMBO,LA SERENA
31219,COLEGIO VERSALLES,Alejandro Flores 3150,2251231,magalyparvularia@hotmail.com,colegioversalles.cl,Magaly Ester Álvarez Montero,Corporación Educacional Alvarez Y Asociados,DE COQUIMBO,LA SERENA
521,COLEGIO VICTOR DOMINGO SILVA,Avenida Juan Cisternas 3240,0,colegio.victordomingosilva@slepelqui.gob.cl,www.colegiovictordomingosilva.cl,Yoselyn Carola Leiva Atero,Servicio Local De Educación Del Elqui,DE COQUIMBO,LA SERENA
534,COLEGIO VILLA SAN BARTOLOME,Ecuador 1650,47448895,colegio.villasanbartolome@slepelqui.gob.cl,Sin información.,Karina Andrea Yáñez Araya,Servicio Local De Educación Del Elqui,DE COQUIMBO,LA SERENA
40140,ESC. ESP. DE LENGUAJE LOS GIRASOLES LTDA.,"Colombia, Compañia Alta 2551",,corporacionlosgirasoles@hotmail.com,Sin información.,Catalina Del Carmen Paolini Veas,Corporación Educacional Los Girasoles,DE COQUIMBO,LA SERENA
40142,ESC. ESP. DE LENGUAJE MI CASTILLO,Avenida Monjitas Poniente  3051 Cia Baja,253293,micastillo.escuela@gmail.com,Sin información.,Sandra Elisa Leiva Morgado,Corporación Educacional Escuela Especial De Lenguaje Mi Castillo,DE COQUIMBO,LA SERENA
13471,ESC. ESPECIAL DE TRAN. DE LA COM. SANTA LUISA,"Pasaje Los Robles 913, Villa La Florida 751",974504045,santaluisaedu12@gmail.com,Sin información.,Oriana Marcela Rojas Celis,Corporación Educacional Topan,DE COQUIMBO,LA SERENA
13333,ESC. FAMILIAR AGRICOLA VALLE DEL ELQUI,Parcela 33,953969467,cecilia.diaz.m@efaelqui.cl,efa.fvrpuc.cl,Cecilia Teresa Díaz Monardes,Fundación De Vida Rural Dolores Valdés De Covarrubias De La Pontificia Universid,DE COQUIMBO,LA SERENA
13510,ESC.ESP.DE TRANST. ESPEC. DEL LENGUAJE GUAYAS,"Pasaje El Mesias 3822, Villa El Parque 3822",2253733,escuelaguayasamin@gmail.com,www.eguayasamin.cl,Alejandro Arnoldo Cordones Astudillo,Corporación Educacional Oswaldo Guayasamin,DE COQUIMBO,LA SERENA
40074,ESC.ESP.DE TRAST. ESPEC.DEL LENG.JARDIN DE SU,Calle Abogado Hector Carreño Latorre 5442 Villa La Florida 5442,273569,m_aledelpino@hotmail.com,escuelajardindesuenos.blogspot.com,María Alejandra Del Pino Arcos,Corporacion Educacional Jardin De Sueños,DE COQUIMBO,LA SERENA
40051,ESC.ESP.DE TRAST.ESP DEL LENG.MI PANAL,El Bollen 2124 Villa La Florida 273400,2273400,escueladelenguajemipanal@hotmail.com,Sin información.,Carol Claudia Gálvez Rojas,Entidad Individual Educacional  Mi Panal,DE COQUIMBO,LA SERENA
571,ESC.ESPEC.LOS PENSAMIENTOS DE JUAN XXIII,Balmaceda 4320 Paradero 9 De La Pampa 4320,28915755,uelospensamientos@coanil.cl,www.coanil.cl,Ana Esther De Lourdes Riveros Plaza,Fundacion Educacional Coanil,DE COQUIMBO,LA SERENA
523,ESCUELA ALONSO DE ERCILLA,Pedro Aguirre Cerda 2475,253515,escuela.alonsodeercilla@slepelqui.gob.cl,www.cadels.cl,Paulina Alejandra Díaz Araya,Servicio Local De Educación Del Elqui,DE COQUIMBO,LA SERENA
550,ESCUELA DE ALMIRANTE LATORRE,Almirante Latorre Km. 60,,robert2008@educarchile.cl,Sin información.,Roberto Hernán Rodríguez Galleguillos,Servicio Local De Educación Del Elqui,DE COQUIMBO,LA SERENA
552,ESCUELA DE CHACAY ALTO,El Chacay Alto Km. 30,76108591,huguetteabbott@gmail.com,Sin información.,Sin información.,Servicio Local De Educación Del Elqui,DE COQUIMBO,LA SERENA
548,ESCUELA DE COLONIA ALFALFARES,Colonia Alfalfares S/n,99975943,escuela.coloniaalfalfares@slepelqui.gob.cl,Sin información.,Javier Francisco Venegas Castro,Servicio Local De Educación Del Elqui,DE COQUIMBO,LA SERENA
544,ESCUELA DE EL MILAGRO,Cuatro Esquinas 4605  Sector El Milagro,63718370,colegioelmilagro@corporacionlaserena.cl,Sin información.,Ana María Franco Silva,Servicio Local De Educación Del Elqui,DE COQUIMBO,LA SERENA
540,ESCUELA DE ISLON,Calle Gabriela Mistral S/n Pueblo De Islon,00000,escuela.islon@slepelqui.gob.cl,www.mineduc.cl,Nevenka Paulina Álvarez Barrera,Servicio Local De Educación Del Elqui,DE COQUIMBO,LA SERENA
542,ESCUELA DE LAMBERT,Lambert Kilometro 20,56309729,escuela.lambert@slepelqui.gob.cl,colegiolambert.cl,Wilson Giovanni Cortés Labarca,Servicio Local De Educación Del Elqui,DE COQUIMBO,LA SERENA
551,ESCUELA DE LAS ROJAS,Eduardo Abott  Las Rojas 56,92829507,escuela.lasrojas@slepelqui.gob.cl,www.escuelalasrojas.cl,Verónica Alejandra Arancibia Araya,Servicio Local De Educación Del Elqui,DE COQUIMBO,LA SERENA
40405,ESCUELA DE LENGUAJE HAPPY DAY,Calle Peru 2461,,m_21vera@hotmail.com,Sin información.,Marjorie Genoveva Vera Flores,Cielos Del Valle Entidad Individual Educacional,DE COQUIMBO,LA SERENA
41833,ESCUELA DE LENGUAJE INFANTE,Rio Ollita 3891 2139,96802722,escuelainfante2021@gmail.com,Sin información.,Verónica Fabiola García Silva,Infante Eie,DE COQUIMBO,LA SERENA
31200,ESCUELA DE LENGUAJE MI SOLCITO,Avenida Argentina 3101,352297519,escuelamisolcito@gmail.com,Sin información.,Carla Andrea Rabuco Mundaca,Entidad Individual Educacional Cumbres De Los Andes,DE COQUIMBO,LA SERENA
31202,ESCUELA DE LENGUAJE SAN ANDRES,Avenida Gaspar Marín 2715,281557,corpeducsanandres@gmail.com,Sin información.,Leicy Glafira Silva Valdebenito,Corporación Educacional San Andrés De La Serena.,DE COQUIMBO,LA SERENA
554,ESCUELA DE PELICANA,Camino Publico S/n,42356201,laro@educarchile.cl,Sin información.,Leonardo Augusto Rocco Olivares,Servicio Local De Educación Del Elqui,DE COQUIMBO,LA SERENA
556,ESCUELA DE ROMERO,Calle  Principal S/n,2544324,escuela.romero@slepelqui.gob.cl,Sin información.,Gunila Emilia Álvarez Santibáñez,Servicio Local De Educación Del Elqui,DE COQUIMBO,LA SERENA
557,ESCUELA DE SATURNO,Ruta 41 Km. 18 Pablo Neruda S/n,999138311,colegio.saturno@slepelqui.gob.cl,www.colegiosaturno.cl,Lorena Edith Jofré Pomareda,Servicio Local De Educación Del Elqui,DE COQUIMBO,LA SERENA
31214,ESCUELA ESP DE LENGUAJE LA FABRICA DE SUEÑOS,Guillermo Ulriksen 1629,,directora@efds.cl,Sin información.,Katherine Melissa Aranda Gutiérrez,Corporación Educacional Los Cabos,DE COQUIMBO,LA SERENA
13488,ESCUELA ESP. DE TRANS. DE LA COM. NUEVA BELEN,Avenida Juan Cisternas 2280-b,220639,escuelanuevabelen@yahoo.es,Sin información.,Sin información.,Nueva Belen De La Serena Spa,DE COQUIMBO,LA SERENA
13577,ESCUELA ESPECIAL CONDEMARIN,Eusebio Lillo 530,82521140,corporacionsuyaylaserena@gmail.com,www.gruposuyay.cl,Carolina Alejandra Torres González,Corporación Educacional   Suyay,DE COQUIMBO,LA SERENA
41537,ESCUELA ESPECIAL DE LENGUAJE  GRAN MOZART,"Avenida Guillermo Ulriksen N° 1753, Barrio Universitario, Sector Urbano, De La Comuna De La Serena 1753",,admin@escuelalenguajemozart.cl,Sin información.,Sergio Hernando Peralta Vega,Corporación Educacional  Eidos,DE COQUIMBO,LA SERENA
31212,ESCUELA ESPECIAL DE LENGUAJE AMARANTA,Pje. Ramiro Alvarez Echeverria 2263,983619634,escuela.amaranta@gmail.com,Sin información.,Lorena Marion Lamas Rojas,Corporación  Educacional Amaranta,DE COQUIMBO,LA SERENA
40300,ESCUELA ESPECIAL DE LENGUAJE ANTIYAL LAS COMP,"Av. José Gaspar Marín 2691, Las Compañías 2691",625196,valoma.soc@gmail.com,Sin información.,Vanessa Tatiana Miranda Tapia,Corporación Educacional Antu La Serena,DE COQUIMBO,LA SERENA
16912,ESCUELA ESPECIAL DE LENGUAJE AQUALUNA,Avenida 18 De Septiembre Villa La Florida 4410,,direccionescuelaaqualuna@gmail.com,www.colegioversalles.cl,Sin información.,Corporación Educacional Alvarez Y Asociados,DE COQUIMBO,LA SERENA
20360,ESCUELA ESPECIAL DE LENGUAJE ARBOLIRIS,Gabriel Gonzalez Videla 4493,2641961,proyectoarboliris.dif@gmail.com,Sin información.,Cecilia Pamela Aravena Saavedra,Corporación Educacional Alerce De La Serena,DE COQUIMBO,LA SERENA
31223,ESCUELA ESPECIAL DE LENGUAJE EL CASTILLO DEL SABER,Pasaje Luzmira Peñailillo (loteo Las Palmeras) 665,2630460,escuelaelcastillodelsaber@gmail.com,Sin información.,Marcela Paz Lagos Contreras,Corporación Educacional Castillo Del Saber,DE COQUIMBO,LA SERENA
20302,ESCUELA ESPECIAL DE LENGUAJE KOLIBRI,"Enrique Moreno , Loteo Ex Sucesion Guzman , Cia Baja 3767",,nicolecabrera030887@gmail.com,Sin información.,Nicole Estefanía Cabrera Godoy,Corporacion Educacional Sacre Y Quiñones,DE COQUIMBO,LA SERENA
42152,ESCUELA ESPECIAL DE LENGUAJE MÁGICA MELODIA,"Calle  Millaray N° 3124, Las Compañías, Sector Urbano, La Serena 3124",968989333,escuelamagicamelodia@gmail.com,Sin información.,Marjorie Elizabeth Pastén Rojas,Corporacion  Educacional Adym,DE COQUIMBO,LA SERENA
41812,ESCUELA ESPECIAL DE LENGUAJE MI MUNDO ECOLOGICO,"Avenida La Paz N° 4142, Las Compañías, Sector Urbano, La Serena 4142",23887985,escuelamimundoecologico@gmail.com,Sin información.,Karem Ayleen Véliz Pastén,Corporación Educacional Athenea,DE COQUIMBO,LA SERENA
42024,ESCUELA ESPECIAL DE LENGUAJE MIS PALABRITAS,"Calle Cabo Segundo Pedro Mendez N° 2146, El Olivar Las Compañías, Sector Urbano, La Serena 2146",81502601,rossanapalacios199@hotmail.com,Sin información.,Rosasna Patricia Palacios Araya,Corporación Educacional Palacios-toledo,DE COQUIMBO,LA SERENA
31211,ESCUELA ESPECIAL DE LENGUAJE PEQUEÑA ORUGA,San Joaquin 1556,775186,pequenaoruga@gmail.com,Sin información.,Valeska Andrea Santander Castillo,Entidad Individual Educacional  Pequeña Oruga,DE COQUIMBO,LA SERENA
12774,ESCUELA ESPECIAL DE LENGUAJE PEQUEÑAS CUMBRES,"Vicente Zorrilla, Las Compañias 1623",2281421,pclenguajedocumentos@gmail.com,Sin información.,Paola Nicole Vega Rojas,Corporación Educacional   Escuela Especial  San Luis La Serena,DE COQUIMBO,LA SERENA
20346,ESCUELA ESPECIAL DE LENGUAJE PEQUEÑO MUNDO,Nicaragua 1901,2642523,escuelap.mundo@gmail.com,Sin información.,Milen Fernanda Santander Ramírez,Corporacion Educacional Valso,DE COQUIMBO,LA SERENA
42170,ESCUELA ESPECIAL DE LENGUAJE QISPI KAY,"Calle Baquedano 2631, Las Compañías, Sector Urbano, De La Comuna De La Serena 2631",,corporacioneducacionalqispikay@gmail.com,Sin información.,Claudia Lorena Huerta Huerta,Corporacion Educacional Qispi Kay C Y C,DE COQUIMBO,LA SERENA
40141,ESCUELA ESPECIAL DE LENGUAJE SANTA ANA,Pasaje El Acantilado Caleta San Pedro 203,71547852,fabiolayanezmolina@gmail.com,Sin información.,Fabiola Andrea Yáñez Molina,Entidad Individual Educacional Santa Ana,DE COQUIMBO,LA SERENA
20377,ESCUELA ESPECIAL DE LENGUAJE SANTA MARIANA,Peru Lote 27 Mz 14 Las Compañias 2737,2642499,escuelalenguajesantamariana@yahoo.es,Sin información.,Trinidad Del Pilar Martin Araya,"Entidad Individual Educacional, Angela Maria Buritica Rubio",DE COQUIMBO,LA SERENA
32058,ESCUELA ESPECIAL DE LENGUAJE SANTA TERESA,Los Duraznos Con Granados S7n Pueblo De Islon,981775467,yolandagomezutp@gmail.com,Sin información.,Yolanda Grispina Gómez Trujillo,Santa Teresa De Islon Entidad Individual Educacional,DE COQUIMBO,LA SERENA
41017,ESCUELA ESPECIAL DE LENGUAJE SANTINO,"Avenida El Santo Nº 3425, Lote Nº 3, Sector Urbano, Comuna De La Serena 3425",,escueladelenguajesantino@gmail.com,Sin información.,Angélica Solange Rojas Jopia,Corporación Educacional  El Santo De La Serena,DE COQUIMBO,LA SERENA
31206,ESCUELA ESPECIAL DE LENGUAJE SEMBRANDO PALABR,Rodolfo Wagenknecht 3038,2292744,esembrandopalabras@gmail.com,Sin información.,Camila Fernanda Rivera Ibacache,Corporacion Educacional  Sembrando Palabras,DE COQUIMBO,LA SERENA
31217,ESCUELA ESPECIAL DE LENGUAJE SUEÑO DORADO,Arturo Gordon 1204,,familiadorada@gmail.com,www.ricitosdorados.cl,Mari Isabel Salinas Aguilar,Fundación Educacional El Dorado,DE COQUIMBO,LA SERENA
20463,ESCUELA ESPECIAL DE LENGUAJE TRAVESÍA,"Avda. Guillermo Ulriksen, El Milagro Ii 5130",2487142,travesiaserena@gmail.com,mitravesia.cl,Tatiana Elizabeth González Toledo,Corporación Educacional Kimeltu,DE COQUIMBO,LA SERENA
20301,ESCUELA ESPECIAL DE TRANSTORNOS ESPECIFICOS DEL LENGUAJE ANDALUE,"Lingue, La Florida La Serena 4253",964885076,escueladelenguajeandalue@gmail.com,Sin información.,Pilar Elizabeth Álvarez Varas,Corporacion Educacional  Pulmahue,DE COQUIMBO,LA SERENA
16916,ESCUELA ESPECIAL DEL LENGUAJE ARBOLITO,Calle Bari Loteo Santa Margarita Del Mar Iii 571,489190,escueladelenguajearbolito14@gmail.com,Sin información.,Carla Belén Guerra Araya,Corporación Educacional Topan,DE COQUIMBO,LA SERENA
13554,ESCUELA ESPECIAL KREATIVITAS,El Santo 916,2224663,kreativitasedu@hotmail.com,Sin información.,Ana María Cárdenas Olivares,Corporación Educacional Nexo Foras,DE COQUIMBO,LA SERENA
42375,ESCUELA ESPECIAL MI MUNDO EN MOVIMIENTO,"Escultor Virginio Arias N° 3551, Lote Ciudad Los Llanos Iv, Las Compañías, Sector Urbano, De La Comuna De La Serena 3551",,escuelamimundoenmovimiento@gmail.com,Sin información.,Nataly Magdalena Vera Campos,Corporación Educacional Isis,DE COQUIMBO,LA SERENA
20407,ESCUELA ESPECIAL Y DE LENGUAJE ALIWEN,Aurora 3091 3091,39247888,sociedadaliwen@gmail.com,Sin información.,Margareth Johana Geraldo Flores,Corporación Educacional  Escuela De Lenguaje Aliwen La Serena,DE COQUIMBO,LA SERENA
31216,ESCUELA ESPECIAL Y DEL LENGUAJE ANTARES,Pintor Antonio Gana 1464,5352145,corporacion.kreamundos@gmail.com,Sin información.,Mayerlin Del Carmen Figueroa Alvarado,Corporación Educacional Kreamundos,DE COQUIMBO,LA SERENA
581,ESCUELA EXPERIMENTAL DE MUSICA JORGE PEÑA HEN,"Larrain Alcalde S/n, Esq. Seminario, Sector Pampa-la Serena",2295788,secretariadireccion@eemusica.cl,eemusica.cl,Jimena Macarena Ibacache Parraguez,Fundacion Educacional Musical La Serena,DE COQUIMBO,LA SERENA
528,ESCUELA GERMAN RIESCO,Colo Colo 902,2784089,colegiogermanriesco@corporacionlaserena.cl,Sin información.,Drina Gabriela Del Rosario López López,Servicio Local De Educación Del Elqui,DE COQUIMBO,LA SERENA
574,ESCUELA INDUSTRIAL SALESIANA SAN RAMON,Amunategui 450,2565050,colegio@salesianoslaserena.cl,www.salesianoslaserena.cl,Fernanda Andrea Valdés Varela,Congregacion Salesiana,DE COQUIMBO,LA SERENA
573,ESCUELA PARTICULAR TERESA VIDELA DE G,Balmaceda 2526,2294384,cjtrinitario@colegioteresavidela.cl,www.colegioteresavidela.cl,Oscar Lennin Paz Gutiérrez,Fundacion Santisima Trinidad,DE COQUIMBO,LA SERENA
13328,JARDIN INF  DE LA UNIVERSIDAD DE LA SERENA,Avda  Raul Bitran  Colina El Pino 1305,204303,jinfuls@userena.cl,Sin información.,Beatriz Pamela Andrea Villanueva Álvarez,Universidad De La Serena,DE COQUIMBO,LA SERENA
13622,JARDIN INFANTIL ANDALUE,Avda. Rodolfo Wagenknecht 2990,2486030,andaluesalacunayjardin@gmail.com,www.jardininfantilandalue.cl,Marcela De Lourdes Lagos Orellana,Soc. Educacional  Andalue Ltda.,DE COQUIMBO,LA SERENA
40350,JARDIN INFANTIL BARQUILLO,Alberto Arenas 3988,299521,contacto@jardininfantilbarquillo.cl,Sin información.,Sin información.,Sociedad Educacional Jardin Infantil Barquillo Limitada,DE COQUIMBO,LA SERENA
41122,JARDIN INFANTIL COLORIN COLORADO,"Lincoyan Esquina Los Azahares S/n, Población Juan Xxiii, La Antena,  La Serena, Urbano 535",51 2227557,luz.lopez.p@junjired.cl,,Luz Del Carmen López Palma,"Junta Nacional De Jardines Infantiles, Junji",DE COQUIMBO,LA SERENA
40144,JARDIN INFANTIL CURIE,Calle La Estrella 2898,81784313,jardincuriels@gmail.com,Sin información.,Carolina Andrea Vera Aguirre,Corporación Educacional Curie,DE COQUIMBO,LA SERENA
36426,JARDIN INFANTIL DE INTEGRA ARCOIRIS,Calle Única,961687672,4.arcoiris@fundacion.integra.cl,,Cerda Mabel Elena Castro,Fundacion Educacional Para El Desarrollo Integral De La Niñez Integra,DE COQUIMBO,LA SERENA
36425,JARDIN INFANTIL DE INTEGRA MELODIA,Independencia Sur Esq. Cardenal Caro,2228421,4.melodia@fundacion.integra.cl,,Fernandez Paola Isabel Espinoza,Fundacion Educacional Para El Desarrollo Integral De La Niñez Integra,DE COQUIMBO,LA SERENA
41876,JARDIN INFANTIL DE INTEGRA MELODIA,"Independencia  Sur S/n,esquina Cardenal Caro, Poblacion Pedro Aguirre Cerda, La Antena",512228421,4.melodia@fundacion.integra.cl,,Sin información.,Fundacion Educacional Para El Desarrollo Integral De La Niñez Integra,DE COQUIMBO,LA SERENA
13476,JARDIN INFANTIL EL MUNDO DE LOS PELUSITAS,Avenida De Aguirre 160,225401,elmundodelospelusitas@gmail.com,Sin información.,Sin información.,Educacional Nuevo Mundo Limitada,DE COQUIMBO,LA SERENA
11117,JARDIN INFANTIL EL SOLDADITO,Molinos Viejos 1245,225515,marcelanaveat@gmail.com,Sin información.,Sin información.,Regimiento De Infanteria Nº 21 Coquimbo,DE COQUIMBO,LA SERENA
13411,JARDIN INFANTIL FUERTE ALEGRIA,Los Jardines 765,2292797,jardininfantilfuertealegria@gmail.com,www.jardininfantilfuertealegria.cl,Constanza Milenka Paredes Sanhueza,Sociedad Educacional Fuerte Alegria Limitada,DE COQUIMBO,LA SERENA
13469,JARDIN INFANTIL GRAN MOZART,"Emilio Bello 944- 942, Villa La Florida",2600706,atapia@escuelalenguajemozart.cl,www.granmozart.cl,Sergio Hernando Peralta Vega,Corporación Educacional  Eidos,DE COQUIMBO,LA SERENA
13329,JARDIN INFANTIL HAPPY KING,Pampa Baja 2474,485409,king.happy@gmail.com,Sin información.,Sin información.,Sandra Polanco Gonzalez,DE COQUIMBO,LA SERENA
40059,JARDIN INFANTIL INDIGO,Richard Wagner 2101 2101,2602363,jardin.indigo@gmail.com,Sin información.,Vilma Teresa Contreras Polanco,Corporación Educacional   Indigo De La Serena,DE COQUIMBO,LA SERENA
31197,JARDIN INFANTIL INTI,Pampa Baja  4866 Villa El Indio,241350,jardininti@gmail.com,Sin información.,Pamela Andrea Briceño Barraza,Servicios Educacionales Pamela Andrea Briceño,DE COQUIMBO,LA SERENA
13451,JARDIN INFANTIL JESUS DE NAZARET,Luzmira Penailillo 698 Villa Las Palmeras,247461,jesus_nazareth_@hotmail.com,Sin información.,Karina Graciela Díaz Barraza,Corporación Educacional  Jesús De Nazareth,DE COQUIMBO,LA SERENA
41120,JARDIN INFANTIL LA ACADEMIA,"La Academia 1622, Loteo Don Guillermo, Sector Urbano, La Serena 1622",,veronica.reygadas.r@junjired.cl,,Verónica Ester Reygadas Ramírez,"Junta Nacional De Jardines Infantiles, Junji",DE COQUIMBO,LA SERENA
11116,JARDIN INFANTIL LAS ABEJITAS,Cisternas 2698,485990,germaniasilva@gmail.com,Sin información.,Germania Cristina Silva Ite,Germania Silva Ite Eirl,DE COQUIMBO,LA SERENA
16818,JARDIN INFANTIL LE CYGNE,Margot Dhualde 867,296199,lecygne@vtr.net,Sin información.,Sin información.,Educacional Lorena Cazaudehore Yanez,DE COQUIMBO,LA SERENA
42355,JARDÍN INFANTIL LUZ DE LOICA,Marcos Gallo Vergara 452,991421205,luzdeloicalaserena@gmail.com,,Sin información.,Fundación Luz De Loica,DE COQUIMBO,LA SERENA
13478,JARDIN INFANTIL MI RINCON,Eusebio Lillo 600,293108,maken_psi@yahoo.es,Sin información.,Sin información.,Sociedad Educacional Educar Limitada,DE COQUIMBO,LA SERENA
41359,JARDIN INFANTIL MIS PEQUEÑOS PENSANTES,"Daniel De La Vega Nº 1931, Lote Nº 14, Sitio 16, Pinamar Xiv, Primera Etapa, Las Compañías 1931",24749003,ericaespinoza@vtr.net,,Sin información.,Sociedad Educacional Mis Pequeños Pensantes Limitada,DE COQUIMBO,LA SERENA
13393,JARDIN INFANTIL MUNDO CLUB,Ernesto  Peñafiel 951,,jmundoclub@gmail.com,Sin información.,Marcela Andrea Vergara Arévalo,Corporación Educacional  Mundo Club,DE COQUIMBO,LA SERENA
13406,JARDIN INFANTIL PIECECITOS DE NINO,Almagro 372,2699941,ccabreram@minvu.cl,www.serviu.cl,Andrea Pilar Carrasco Alzamora,Servicio De Vivienda Y Urbanismo,DE COQUIMBO,LA SERENA
11138,JARDIN INFANTIL PILLIN,Peni 326,333540,mirza.martinez@redsalud.gov.cl,Sin información.,Sin información.,Servicio De Salud Coquimbo Iv Region,DE COQUIMBO,LA SERENA
32147,JARDÍN INFANTIL RICITOS DE ORO,Pje. Constitucion Esq. Av. Estadio Sitio 2 535,51 2296619,norma.cortes.b@junjired.cl,,Norma María Cortés Baez,"Junta Nacional De Jardines Infantiles, Junji",DE COQUIMBO,LA SERENA
13389,JARDIN INFANTIL RICITOS DORADOS,Arturo Gordon 1204  Villa Codel San Joaquin 1204,2782951,familiadorada@gmail.com,www.ricitosdorados.cl,Sin información.,Sociedad Educacional Alca Limitada,DE COQUIMBO,LA SERENA
13617,JARDIN INFANTIL RUISEÑOR,Los Arrayanes 1559,290134,rossanacortes@yahoo.es,Sin información.,Claudia Elicene Gálvez Rojas,Soc. Educacional Montecarmelo Ltda.,DE COQUIMBO,LA SERENA
13339,JARDIN INFANTIL SAN DANIEL,Brasil 868,2214680,jardinsandaniel@hotmail.com,Sin información.,Mabel Pilar Tapia Fredes,Sociedad Educacional San Daniel Limitada,DE COQUIMBO,LA SERENA
13424,JARDIN INFANTIL SUEÑO AZUL,Avenida Arauco  Y / Direccion Local Anexo Pasaje Bello 4485 La Serena 4506,2270826,y_btte@hotmail.com,www.jardininfantilsuenoazul.cl,Jessica Alejandra Rojas Rojas,Corporacion Educacional Edurojas,DE COQUIMBO,LA SERENA
41254,JARDIN INFANTIL SUEÑO AZUL Y SUS PEQUEÑITOS,"Pasaje El Belloto Nº 4485, Villa La Florida 4485",270826,jardin.inf.s.azul@gmail.com,,Sin información.,Establecimientos Educacionales Cristian Andre,DE COQUIMBO,LA SERENA
40058,JARDIN INFANTIL Y ESCUELA ESPECIAL DE LENGUAJE  MY LITTLE ANGEL,Henry Ford 1694,2417569,mylittleangel@live.cl,Sin información.,Claudia Justina Toro Angel,Corporación Educacional  My Litlle Angel,DE COQUIMBO,LA SERENA
42216,JARDIN INFANTIL Y SALA CUNA CIRUJANO VIDELA,Cirujano Videla  220,957133501,secheverria@junji.cl,,Sin información.,"Junta Nacional De Jardines Infantiles, Junji",DE COQUIMBO,LA SERENA
36423,JARDIN INFANTIL Y SALA CUNA DE INTEGRA SOL NACIENTE,Enrique Moreno 3661,512256118,4.solnaciente@fundacion.integra.cl,,Pinto Ia Alejandra Mohor,Fundacion Educacional Para El Desarrollo Integral De La Niñez Integra,DE COQUIMBO,LA SERENA
33205,JARDIN INFANTIL Y SALA CUNA EL ARRAYAN,Avenida Circunvalación Monjitas Oriente 3047,966286891,villaeltoqui@corporacionggv.cl,,Jenny Elizabeth Tapia Rivera,Corporacion Municipal Gabriel Gonzalez Videla,DE COQUIMBO,LA SERENA
41363,JARDÍN INFANTIL Y SALA CUNA ESTRELLITAS DEL VALLE,José María Caro  927,512563300,yohanna.diaz.a@junjired.cl,,Sin información.,"Junta Nacional De Jardines Infantiles, Junji",DE COQUIMBO,LA SERENA
41530,JARDIN INFANTIL Y SALA CUNA GOLDEN GARDEN,"Avenida Amunategui N° 245, Sector Urbano, De La Comuna De La Serena 245",,jardininfantilgoldengarden@gmail.com,,Sin información.,Francisca Zambra Empresa Individual De Responsabilidad Limitada,DE COQUIMBO,LA SERENA
33223,JARDÍN INFANTIL Y SALA CUNA LOS GIRASOLES,Los Girasoles Esquina Las Parcelas 5169,512272383,jardinlosgirasoles@corporacionggv.cl,,Olivia Pamela Galleguillos Castillo,Corporacion Municipal Gabriel Gonzalez Videla,DE COQUIMBO,LA SERENA
33187,JARDÍN INFANTIL Y SALA CUNA LOS PASTORCITOS,Capellán Nicolás Correa 2852,512255746,angelica.marzal.a@junjired.cl,,Angélica Ester Del Carmen Marzal Angel,"Junta Nacional De Jardines Infantiles, Junji",DE COQUIMBO,LA SERENA
33219,JARDÍN INFANTIL Y SALA CUNA MAX SCHMIDT,Guillermo Max Schmidt  3070,973079976,karina.araya.d@junjired.cl,,Karina Nataly Araya Duarte,"Junta Nacional De Jardines Infantiles, Junji",DE COQUIMBO,LA SERENA
33211,JARDÍN INFANTIL Y SALA CUNA PEQUEÑITOS DEL VALLE,Arauco 5003,512550639,pequesdelvalle@corporacionggv.cl,,Fanny Carolina Zenteno Alfaro,Corporacion Municipal Gabriel Gonzalez Videla,DE COQUIMBO,LA SERENA
33179,JARDIN INFANTIL Y SALA CUNA PRINCIPITO,Calle Monjitas  2540,957133501,secheverria@junji.cl,,Norma Susana Calderón Villalobos,"Junta Nacional De Jardines Infantiles, Junji",DE COQUIMBO,LA SERENA
33217,JARDÍN INFANTIL Y SALA CUNA PUJLLAY,Calle Jorge Rojas Miranda 2851,986606512,yoselyn.pereira.c@junjired.cl,,Yoselyn Macarena Pereira Contreras,"Junta Nacional De Jardines Infantiles, Junji",DE COQUIMBO,LA SERENA
41368,JARDIN INFANTIL Y SALA CUNA ROMERO DE LA TIERRA,Pasaje. La Rejas  989,977758424,viviana.calderon.m@junjired.cl,,Sin información.,"Junta Nacional De Jardines Infantiles, Junji",DE COQUIMBO,LA SERENA
41508,JARDÍN INFANTIL Y SALA CUNA SEMILLITAS DE  LA PAZ,Avenida La Paz 4022,951795372,barbara.torres.o@junjired.cl,,Sin información.,"Junta Nacional De Jardines Infantiles, Junji",DE COQUIMBO,LA SERENA
41697,JARDÍN INFANTIL Y SALA CUNA SEMILLITAS DE ARAUCARIA,Abraham Lincoln  1660,981254527,semillitasdearaucaria@gmail.com,,Sin información.,Paula Jacqueline Rojas Tirado,DE COQUIMBO,LA SERENA
41988,JARDIN INFANTIL Y SALA CUNA VALLE DE ENCUENTRO LA PAMPA,Pampa Baja  4770,962462691,cristi.rojas.y@junjired.cl,,Sin información.,"Junta Nacional De Jardines Infantiles, Junji",DE COQUIMBO,LA SERENA
